SIMATIC WinCC/Audit Viewer,V8.1 + Upd4,V08.01.00.04_01.08.00.01,K8.1.0.4,
FORDM,---,---,VERS_TECH,
Automation License Manager,V6.2 + SP5,06.02.05.00_00.00.03.23,K6.2.5.0,
S7-PLCSIM,V5.4 + SP8 + Upd3,V05.04.08.03_00.16.00.01,K5.4.8.3,
SIMATIC ProSave,V21.0,V21.00.00.00_01.21.00.01,V21.00.00.00,
AS-OS-Engineering,V8.2 + Upd2,08.02.00.02_01.04.00.02,K8.2.0.2,
S7-PDIAG,V5.7,V5.7.0.0_10.1.0.1,V5.7.0.0,
SIMATIC S7-Block Privacy,V1.0 + SP5,K1.0.5.0_7.1.0.1,K1.0.5.0,
SIMATIC S7-GRAPH 2021 SR1,V5.7 + SP1,K5.7.1.0_5.1.0.1,K5.7.1.0,
S7-PCT,V3.5 SP4 Upd1,K3.5.4.1_8.1.0.1,K3.5.4.1,
SIMATIC S7-Project Messages,V5.7 + SP1,K5.7.1.0_2.1.0.1,K5.7.1.0,
SIMATIC S7-SCL 2021 SR1,V5.7 + HF1,K5.7.0.1_3.1.0.1,K5.7.0.1,
STEP 7,V5.7 + SP1 Chinese,K5.7.1.0_11.1.0.1,K5.7.1.0,
SIMATIC S7-Web2PLC,V1.0 + SP4,K1.0.4.0_2.1.0.1,K1.0.4.0,
WinCC Runtime,V7.5,V07.05.00.00_01.39.00.03,V7.5.0.0,
WinCC Configuration,V7.5,V07.05.00.00_01.39.00.03,V7.5.0.0,
WinCC OPC Server,V3.9 + SP9,03.09.09.00_01.09.00.01,K3.9.9.0,
WinCC OPC-UA Client,V1.1,01.01.00.00_01.28.00.01,V1.1.0.0,
WinCC OPC-UA Server,V1.0 + SP7,01.00.07.00_01.14.00.01,K1.0.7.0,
SIMATIC WinCC Smart Tools,V7.5,V07.05.00.00_01.39.00.03,V7.5.0.0,
Automation Access Control Component,05.01,K05.01.02.00_00.00.00.02,---,
SIMATIC Colour Editor,5.2.5.0,K5.2.5.0_1.1.0.1,---,
SIMATIC HMIProvider,7.0,K07.00.03.01_01.01.00.01,---,
License Logon Interface,4.0,K04.00.03.00_01.01.00.02,---,
SIEMENS OPC,3.9,03.09.14.00_01.05.00.20,---,
SIMATIC WinCC OPC Alarm & Events Server,3.9,03.09.09.00_01.09.00.01,---,
SIMATIC WinCC OPC Data Access Server,3.9,03.09.09.00_01.09.00.01,---,
SIMATIC WinCC OPC Historical Data Access Server,3.9,03.09.09.00_01.09.00.01,---,
SIMATIC WinCC OPC XML Client,3.9,03.09.09.00_01.09.00.01,---,
PCS7 Common Classes,9.0,09.00.01.00_00.03.00.07,---,
SIMATIC PLCSIM Advanced SimRT,8.0.0.0,V08.00.00.00_01.22.00.01,---,
SIMATIC HMI ProSave,21.0.0.0,V21.00.00.00_01.21.00.01,---,
SIMATIC HMI Symbol Library,21.0.0.0,V21.00.00.00_01.21.00.01,---,
SIMATIC HMI Touch Input,21.0.0.0,V21.00.00.00_01.21.00.01,---,
SIMATIC Runtime Interfaces,K2.2.0.1,V02.02.00.01_01.01.00.04,---,
SIMATIC Version View,1.7.12.0,K1.7.12.0_1.1.0.1,---,
SIMATIC Common Services,5.3.15.0,K5.3.15.0_1.1.0.1,---,
SIMATIC Device Drivers WoW,29.4,29.04.02.00_01.09.00.01,---,
SIMATIC Event Database,5.7,05.07.04.00_04.01.00.01,---,
SIMATIC GRAPH-Visualisierung,5.2.4.0,K5.2.4.0_1.1.0.1,---,
SIMATIC GSD CONTROL,3.5.7.0,K3.5.7.0_2.1.0.1,---,
SIMATIC GSD Interpreter,2.13.0.0,V2.13.0.0_2.1.0.1,---,
SIMATIC Interface Editor,5.4.25.0,K5.4.25.0_1.1.0.1,---,
SIMATIC Extended Interfaces,5.7.0.0,V5.7.0.0_5.1.0.1,---,
SIMATIC LanguageSupportTool,5.8.4.0,K5.8.4.0_2.1.0.1,---,
SIMATIC Condition Editor,5.6.2.0,K5.6.2.0_1.1.0.1,---,
SIMATIC NCM,5.7.1.0,K5.7.1.0_11.1.0.1,---,
SIMATIC Process Diagnosis Base,5.7.0.2,K5.7.0.2_3.1.0.1,---,
SIMATIC Process Diagnosis Database,5.7.0.0,V5.7.0.0_5.1.0.1,---,
SIMATIC DIAGNOSTIC REPEATER GUI CTRL,5.2.3.0,K5.2.3.0_1.1.0.1,---,
SIMATIC Grid Control,3.0.2.0,K3.0.2.0_1.1.0.1,---,
SIMATIC S7-Status-OCX,5.3.15.0,K5.3.15.0_3.1.0.1,---,
SIMATIC Technological Parameter Assignment,5.3.12.0,K5.3.12.0_3.1.0.1,---,
SIMATIC X-Ref Control,5.2.10.0,K5.2.10.0_1.1.0.1,---,
SIMATIC STEP 7 Help Viewer,1.0.7.0,K1.0.7.0_3.1.0.1,---,
SIMATIC SCL Compiler,5.7.0.1,K5.7.0.1_1.1.0.1,---,
SeCon,3.0,V03.00.00.00_01.01.00.11,---,
SIMATIC Station Observer,K7.3.1.0,V07.03.01.00_01.01.00.14,---,
SIMATIC SCS,K8.1.0.2,V08.01.00.02_01.01.00.02,---,
SIMATIC WinCC Common Archiving,V7.5.0.0,V07.05.00.00_01.39.00.03,---,
WinCC Runtime Advanced Simulator,21.0.0.0,V21.00.00.00_01.21.00.01,---,
