SIMATIC WinCC/Audit Viewer,V8.1 + Upd4,V08.01.00.04_01.08.00.01,K8.1.0.4,
FORDM,---,---,VERS_TECH,
Automation License Manager,V6.2 + SP5,06.02.05.00_00.00.03.23,K6.2.5.0,
S7-PLCSIM,V5.4 + SP8 + Upd3,V05.04.08.03_00.16.00.01,K5.4.8.3,
SIMATIC ProSave,V21.0,V21.00.00.00_01.21.00.01,V21.00.00.00,
AS-OS-Engineering,V8.2 + Upd2,08.02.00.02_01.04.00.02,K8.2.0.2,
S7-PDIAG,V5.7,V5.7.0.0_10.1.0.1,V5.7.0.0,
SIMATIC S7-Block Privacy,V1.0 + SP5,K1.0.5.0_7.1.0.1,K1.0.5.0,
SIMATIC S7-GRAPH 2021 SR1,V5.7 + SP1,K5.7.1.0_5.1.0.1,K5.7.1.0,
S7-PCT,V3.5 SP4 Upd1,K3.5.4.1_8.1.0.1,K3.5.4.1,
SIMATIC S7-Project Messages,V5.7 + SP1,K5.7.1.0_2.1.0.1,K5.7.1.0,
SIMATIC S7-SCL 2021 SR1,V5.7 + HF1,K5.7.0.1_3.1.0.1,K5.7.0.1,
STEP 7,V5.7 + SP1 Chinese,K5.7.1.0_11.1.0.1,K5.7.1.0,
SIMATIC S7-Web2PLC,V1.0 + SP4,K1.0.4.0_2.1.0.1,K1.0.4.0,
WinCC Runtime,V7.5,V07.05.00.00_01.39.00.03,V7.5.0.0,
WinCC Configuration,V7.5,V07.05.00.00_01.39.00.03,V7.5.0.0,
WinCC OPC Server,V3.9 + SP9,03.09.09.00_01.09.00.01,K3.9.9.0,
WinCC OPC-UA Client,V1.1,01.01.00.00_01.28.00.01,V1.1.0.0,
WinCC OPC-UA Server,V1.0 + SP7,01.00.07.00_01.14.00.01,K1.0.7.0,
SIMATIC WinCC Smart Tools,V7.5,V07.05.00.00_01.39.00.03,V7.5.0.0,
